#separator:tab
#html:true
#notetype:MCAT Application
#columns:Stem	Passage	Answer	Explanation	Concept	Grounding	Deck	Tags
#deck column:7
#tags column:8
A microbiologist treats a bacterial culture with lysozyme in a hypotonic buffer. Which bacterial cell type would undergo the most rapid osmotic lysis under these conditions?<br>A) Gram-negative bacteria, because their thin peptidoglycan layer is the only structural barrier<br>B) Gram-positive bacteria, because their thick peptidoglycan layer is their primary structural barrier and is efficiently cleaved by lysozyme<br>C) Mycoplasma, because they lack a cell wall and are already osmotically fragile<br>D) Archaea, because their pseudopeptidoglycan is more susceptible to lysozyme than bacterial peptidoglycan		B) Gram-positive bacteria, because their thick peptidoglycan layer is their primary structural barrier and is efficiently cleaved by lysozyme	Gram-positive bacteria rely almost entirely on their thick peptidoglycan layer for structural integrity; lysozyme cleaves the beta-1,4 glycosidic bonds in peptidoglycan, removing this barrier and allowing osmotic lysis in hypotonic conditions. Gram-negative bacteria (A) have a thinner peptidoglycan layer but also possess an outer membrane that provides a secondary barrier, reducing the rate of lysis. Mycoplasma (C) lacks a cell wall entirely and is inherently osmotically fragile, but the question concerns lysozyme-induced lysis specifically — lysozyme has no peptidoglycan to act on in Mycoplasma. Archaeal pseudopeptidoglycan (D) is not cleaved by lysozyme because it contains different sugar subunits (N-acetyltalosaminuronic acid instead of N-acetylmuramic acid), making archaea resistant to lysozyme.	Classification and Structure of Prokaryotic Cells		MCAT::Practice	concept::BB::2B::classification_and_structure_of_prokaryotic_cells MCAT::app-difficulty::1 MCAT::section::BB MCAT::2B::classification-and-structure-of-prokaryotic-cells MCAT::practice synapse::demo-content
A microorganism is isolated from a hydrothermal vent at 110°C. Biochemical analysis reveals that its cell membrane contains branched isoprenoid hydrocarbon chains linked to glycerol via ether bonds, and the membrane forms a lipid monolayer in some regions. Which domain does this organism belong to, and what structural feature most directly explains its thermal stability?<br>A) Bacteria; the ether-linked lipids reduce membrane fluidity at high temperatures<br>B) Eukarya; tetraether lipid monolayers are a eukaryotic adaptation to extreme heat<br>C) Archaea; tetraether lipid monolayers that span the entire membrane resist thermal disruption and phase separation<br>D) Bacteria; the branched isoprenoid chains interdigitate to stabilize the bilayer at high temperatures		C) Archaea; tetraether lipid monolayers that span the entire membrane resist thermal disruption and phase separation	Ether-linked isoprenoid lipids and membrane-spanning tetraether monolayers are defining features of Archaea, not Bacteria or Eukarya. The covalent span across the entire membrane in tetraether monolayers prevents the two leaflets from separating at extreme temperatures, providing exceptional thermal stability. Bacteria (A and D) use ester-linked fatty acids, not ether-linked isoprenoids; while branching does reduce fluidity, bacteria do not form true tetraether monolayers. Eukarya (B) also use ester-linked lipids and do not form lipid monolayers; tetraether monolayers are exclusively archaeal.	Classification and Structure of Prokaryotic Cells		MCAT::Practice	concept::BB::2B::classification_and_structure_of_prokaryotic_cells MCAT::app-difficulty::1 MCAT::section::BB MCAT::2B::classification-and-structure-of-prokaryotic-cells MCAT::practice synapse::demo-content
A researcher studying bacterial motility adds a proton ionophore (a membrane-permeable weak acid that collapses the transmembrane proton gradient without depleting intracellular ATP) to a culture of motile gram-negative bacteria. A second culture is treated with an ATP synthase inhibitor that depletes intracellular ATP while leaving the proton gradient intact. Which outcome is most accurately predicted?<br>A) Both treatments stop flagellar rotation, because the flagellar motor requires both ATP and proton-motive force simultaneously<br>B) The ionophore stops flagellar rotation; the ATP synthase inhibitor does not, because the flagellar motor is driven by proton flux, not ATP hydrolysis<br>C) The ATP synthase inhibitor stops flagellar rotation; the ionophore does not, because flagellar assembly requires ATP but rotation is ATP-independent<br>D) Neither treatment affects flagellar rotation because bacteria switch to sodium-motive force when the proton gradient is lost		B) The ionophore stops flagellar rotation; the ATP synthase inhibitor does not, because the flagellar motor is driven by proton flux, not ATP hydrolysis	The bacterial flagellar motor (specifically the Mot protein stator complex) is powered directly by proton flux down the electrochemical gradient across the inner membrane — not by ATP hydrolysis. Collapsing the proton-motive force with an ionophore therefore halts rotation, while depleting ATP (with the gradient intact) does not stop the motor. Option A is incorrect because ATP is not directly consumed for rotation. Option C confuses the energy source for flagellar assembly (which does require ATP for protein export via the type III secretion-like mechanism) with the energy source for rotation. Option D incorrectly generalizes — some marine bacteria use sodium-motive force, but most studied gram-negative model organisms use proton-motive force and cannot automatically switch.	Classification and Structure of Prokaryotic Cells		MCAT::Practice	concept::BB::2B::classification_and_structure_of_prokaryotic_cells MCAT::app-difficulty::2 MCAT::section::BB MCAT::2B::classification-and-structure-of-prokaryotic-cells MCAT::practice synapse::demo-content
A clinical microbiologist performs a Gram stain on a throat swab and observes gram-positive cocci arranged in long chains. A second sample from a skin abscess shows gram-positive cocci in irregular grape-like clusters. Which best explains the difference in arrangement, and what does each pattern indicate about cell division plane usage?<br>A) Chains result from division in multiple perpendicular planes with incomplete separation; clusters result from division in a single plane<br>B) Chains result from division in a single plane with cells remaining attached; clusters result from division in multiple planes with cells remaining attached<br>C) Both arrangements result from division in a single plane; the difference is determined solely by the thickness of the peptidoglycan layer<br>D) Clusters result from division in a single plane, and chains result from division in three perpendicular planes producing packets of eight		B) Chains result from division in a single plane with cells remaining attached; clusters result from division in multiple planes with cells remaining attached	Bacterial cell arrangement reflects both the plane(s) of division and whether daughter cells remain together after dividing. Cocci that divide only along a single plane and remain attached produce chains (as in Streptococcus); those that divide along multiple random planes while remaining attached produce irregular clusters (as in Staphylococcus). Option A reverses the relationship between plane number and arrangement. Option C is incorrect because peptidoglycan thickness does not determine division plane — arrangement is entirely a function of the geometry of septum formation and the degree of post-division separation. Option D conflates clusters with chains and describes sarcinae (packets of eight resulting from division in three perpendicular planes), which is a distinct category.	Classification and Structure of Prokaryotic Cells		MCAT::Practice	concept::BB::2B::classification_and_structure_of_prokaryotic_cells MCAT::app-difficulty::2 MCAT::section::BB MCAT::2B::classification-and-structure-of-prokaryotic-cells MCAT::practice synapse::demo-content
A research team develops a novel ribosome-targeting antibiotic. It potently inhibits protein synthesis in cell-free lysates of gram-negative bacteria and is completely ineffective against gram-positive bacteria at the same concentration. When gram-negative bacteria are pretreated with EDTA (which chelates the Mg²⁺ ions that stabilize lipopolysaccharide in the outer membrane) before antibiotic addition, growth inhibition is restored to levels seen in cell-free assays. Structural analysis shows the drug has a molecular weight of ~1400 Da and a logP of −2 (highly hydrophilic). Which statement best explains the intrinsic resistance of intact gram-negative bacteria to this antibiotic?<br>A) The outer membrane's LPS layer creates a negatively charged barrier that repels the negatively charged antibiotic, and EDTA neutralizes this charge<br>B) The drug is too large and too hydrophilic to cross the outer membrane: it cannot dissolve through the lipid bilayer and exceeds the size cutoff for entry through porins, but EDTA-mediated LPS disruption creates non-specific gaps that allow entry<br>C) Gram-negative bacteria express drug efflux pumps in the outer membrane that export the antibiotic; EDTA inhibits these pumps by chelating their metal cofactors<br>D) The drug is degraded by periplasmic beta-lactamases that are absent in gram-positive bacteria; EDTA inhibits these enzymes by removing required divalent cation cofactors		B) The drug is too large and too hydrophilic to cross the outer membrane: it cannot dissolve through the lipid bilayer and exceeds the size cutoff for entry through porins, but EDTA-mediated LPS disruption creates non-specific gaps that allow entry	The outer membrane of gram-negative bacteria restricts entry of molecules by two routes: (1) porins, which accommodate small hydrophilic molecules generally below ~600 Da, and (2) the lipid bilayer, which allows only hydrophobic molecules to dissolve through. This antibiotic at ~1400 Da is far above the porin size exclusion limit, and its logP of −2 confirms it is too hydrophilic to partition into and cross the lipid bilayer — explaining intrinsic outer membrane impermeability. EDTA chelates Mg²⁺ that cross-links LPS molecules; without this stabilization, LPS is shed and the outer membrane becomes transiently permeable, allowing the large hydrophilic drug to reach the ribosomes. Option A misidentifies the mechanism: EDTA works by removing structural Mg²⁺, not by charge neutralization, and LPS charge repulsion is not the primary exclusion mechanism for large hydrophilic drugs. Option C is incorrect because efflux pumps span the inner membrane and periplasm, not the outer membrane, and EDTA does not specifically inhibit them. Option D is a distractor invoking beta-lactamases, which degrade beta-lactam antibiotics specifically and are irrelevant to a ribosome-targeting drug; furthermore, the drug works in cell-free lysates confirming it is not degraded.	Classification and Structure of Prokaryotic Cells		MCAT::Practice	concept::BB::2B::classification_and_structure_of_prokaryotic_cells MCAT::app-difficulty::3 MCAT::section::BB MCAT::2B::classification-and-structure-of-prokaryotic-cells MCAT::practice synapse::demo-content
During vertebrate limb development, a transcription factor essential for digit formation is expressed only in the posterior limb bud. Researchers create a transgenic embryo in which this factor is ectopically expressed throughout the entire limb bud. Which result is most likely?<br>A) Anterior digits take on posterior digit identity<br>B) All digits are lost because the posterior signaling gradient is destroyed<br>C) Limb development is unaffected because transcription factors require co-activators present only posteriorly<br>D) Anterior digits differentiate into cartilage instead of bone		A) Anterior digits take on posterior digit identity	Positional identity during limb development is conferred by morphogen gradients and transcription factors (notably Hox genes and Sonic hedgehog targets) that specify posterior vs. anterior fate. Ectopic expression of a posterior-identity transcription factor in anterior cells reprograms those cells to adopt posterior digit identity, a classic homeotic transformation. Option B is incorrect because simply broadening expression does not abolish the gradient needed for patterning — it respecifies fate. Option C is a plausible distractor, but the premise of the experiment is that ectopic expression produces a functional protein; obligatory anterior-only co-activators are not an established principle here. Option D conflates cell-type fate (cartilage vs. bone) with positional identity, which is a separate, downstream decision.	Mechanisms of Development		MCAT::Practice	concept::BB::2C::mechanisms_of_development MCAT::app-difficulty::1 MCAT::section::BB MCAT::2C::mechanisms-of-development MCAT::practice synapse::demo-content
A population of embryonic cells is described as 'determined' for the neural lineage. If these cells are transplanted into the presumptive epidermis of a host embryo at the same developmental stage, they will form neural tissue rather than epidermis. Which statement best explains this observation?<br>A) The cells have not yet undergone differentiation, so they remain responsive to epidermal inductive signals<br>B) Determination precedes differentiation and commits cells to a fate regardless of new environmental signals<br>C) The host epidermal environment lacks the inductive signals needed to trigger any differentiation<br>D) Pluripotent stem cells in the graft rescue neural fate by secreting neural-inducing factors		B) Determination precedes differentiation and commits cells to a fate regardless of new environmental signals	Determination is a stable, heritable commitment to a developmental fate that occurs before overt differentiation; determined cells follow their programmed fate even in foreign environments. This distinguishes determination from specification (which is reversible). Option A is incorrect because determination, by definition, renders cells unresponsive to alternative inductive signals even though morphological differentiation has not yet occurred. Option C is wrong because the host epidermis is a normal tissue-producing environment, not a signaling void. Option D introduces pluripotent stem cells, which are not the cells described and would not rescue neural fate through paracrine signaling in this controlled transplant.	Mechanisms of Development		MCAT::Practice	concept::BB::2C::mechanisms_of_development MCAT::app-difficulty::1 MCAT::section::BB MCAT::2C::mechanisms-of-development MCAT::practice synapse::demo-content
A researcher studying C. elegans development finds that mutation of the ced-9 gene (a Bcl-2 homolog) causes widespread cell death during embryogenesis, producing embryos with far fewer cells than wild type. The researcher then introduces a second mutation in ced-4 (an Apaf-1 homolog) into the ced-9 mutant background. The double mutant embryo has a nearly normal cell count.<br>Based on these data, which model of apoptosis regulation is best supported?<br>A) CED-9 promotes apoptosis by activating CED-4, and loss of CED-9 prevents activation<br>B) CED-9 inhibits CED-4 activity; when CED-9 is absent, CED-4 drives excessive apoptosis, and removing CED-4 rescues cell survival<br>C) CED-4 is a survival factor; loss of CED-4 alone would also produce widespread cell death<br>D) CED-9 and CED-4 act in parallel pathways; the double mutant phenotype reflects additive rescue		B) CED-9 inhibits CED-4 activity; when CED-9 is absent, CED-4 drives excessive apoptosis, and removing CED-4 rescues cell survival	In the canonical C. elegans apoptosis pathway, CED-9 (Bcl-2 homolog) sequesters and inhibits CED-4 (Apaf-1 homolog), keeping the apoptotic caspase cascade off in surviving cells. Loss-of-function ced-9 releases CED-4, which then activates CED-3 (caspase) and drives widespread apoptosis. The ced-4 second-site suppressor rescue confirms that CED-4 is the key downstream effector of the excessive death. Option A inverts the relationship — CED-9 inhibits, not promotes, apoptosis. Option C is refuted by the rescue data: if CED-4 were a survival factor, removing it would worsen, not rescue, the phenotype. Option D incorrectly labels the relationship as parallel rather than the established linear epistasis.	Mechanisms of Development		MCAT::Practice	concept::BB::2C::mechanisms_of_development MCAT::app-difficulty::2 MCAT::section::BB MCAT::2C::mechanisms-of-development MCAT::practice synapse::demo-content
Human induced pluripotent stem cells (iPSCs) are generated by transducing somatic cells with transcription factors (e.g., Oct4, Sox2, Klf4, c-Myc). After successful reprogramming, iPSCs can differentiate into any somatic cell type.<br>A lab generates iPSCs from adult skin fibroblasts and then directs them toward a hepatocyte (liver cell) fate using a defined protocol. Which sequence of events most accurately describes the molecular and cellular progression?<br>A) Epigenetic remodeling reopens pluripotency loci → hepatocyte-specific transcription factors close pluripotency loci and activate liver genes → functional hepatocytes<br>B) Skin-specific gene expression is maintained during reprogramming, then gradually replaced by hepatocyte genes without epigenetic changes<br>C) The fibroblast nucleus is replaced by an embryonic nucleus, restoring totipotency before hepatocyte differentiation begins<br>D) iPSCs bypass the epigenome entirely and directly activate hepatocyte structural genes via the introduced transcription factors		A) Epigenetic remodeling reopens pluripotency loci → hepatocyte-specific transcription factors close pluripotency loci and activate liver genes → functional hepatocytes	Reprogramming to iPSCs requires global epigenetic remodeling — demethylation of pluripotency gene promoters (e.g., Oct4, Nanog) and resetting of histone marks — to re-establish an embryonic-like epigenome. Directed differentiation then involves activating lineage-specific transcription factors (e.g., HNF4A for hepatocytes) that silence pluripotency loci and open liver-specific chromatin. Option B is incorrect because skin-specific epigenetic marks must be actively erased during reprogramming. Option C describes somatic cell nuclear transfer (cloning), not iPSC generation. Option D is wrong because all gene regulation, even transcription-factor-driven, operates through and is constrained by the epigenome; chromatin accessibility is prerequisite to gene activation.	Mechanisms of Development		MCAT::Practice	concept::BB::2C::mechanisms_of_development MCAT::app-difficulty::2 MCAT::section::BB MCAT::2C::mechanisms-of-development MCAT::practice synapse::demo-content
A developmental biologist studies a secreted signaling protein, Morphogen X, which is produced by a localized source in an embryo and forms a concentration gradient across a field of 200 equivalent cells. High concentrations of Morphogen X activate transcription factor A (TFA) and repress transcription factor B (TFB); low concentrations have the opposite effect. Cells expressing TFA eventually become neurons; cells expressing TFB become epidermis.<br>The biologist makes three observations:<br>1. Cells transplanted from the high-concentration zone to the low-concentration zone at blastula stage adopt epidermal fate.<br>2. The same transplant performed at neurula stage produces neurons regardless of new position.<br>3. A small-molecule inhibitor of histone deacetylases (HDACs) applied at blastula stage causes all cells to become neurons even without Morphogen X.<br>Which conclusion is best supported by all three observations together?<br>A) Morphogen X directly methylates DNA at TFB loci to permanently silence epidermal fate<br>B) Neural determination involves progressive chromatin compaction at TFA loci that requires HDAC activity to be maintained<br>C) Cells transition from a reversible specified state to an irreversibly determined neural state between blastula and neurula; this transition involves HDAC-dependent chromatin silencing of the epidermal program<br>D) HDACs promote epidermal fate by maintaining TFB expression; inhibiting HDACs at any stage would convert all cells to neurons		C) Cells transition from a reversible specified state to an irreversibly determined neural state between blastula and neurula; this transition involves HDAC-dependent chromatin silencing of the epidermal program	Observation 1 shows cells are specified but not yet determined at blastula stage (fate is reversible). Observation 2 shows determination has occurred by neurula stage (fate is irreversible despite environmental change). Together these establish the specification-to-determination transition window. Observation 3 implicates HDAC activity in maintaining the epidermal (TFB) program — inhibiting HDACs derepresses neural fate, suggesting HDACs normally compact chromatin at TFA loci or keep TFB-driven epidermal chromatin accessible. Integrating all three: determination corresponds to HDAC-mediated silencing of the alternative (epidermal) program, locking in neural fate. Option A incorrectly attributes the silencing to direct DNA methylation by Morphogen X, which is not an established mechanism for a secreted ligand. Option B inverts the logic — HDACs compact chromatin, so HDAC activity would suppress TFA, not maintain it; inhibiting HDACs should open chromatin, consistent with neural activation, but B misstates the target locus. Option D is refuted by observation 2: at neurula stage, determination is complete and cells are no longer plastic, so HDAC inhibition at any stage would not uniformly convert all cells.	Mechanisms of Development		MCAT::Practice	concept::BB::2C::mechanisms_of_development MCAT::app-difficulty::3 MCAT::section::BB MCAT::2C::mechanisms-of-development MCAT::practice synapse::demo-content
A researcher applies a toxin that selectively blocks voltage-gated Na⁺ channels in peripheral neurons. Which of the following best describes the immediate effect on nerve signal transmission?<br>A) Action potentials fire more frequently because the resting potential becomes more negative.<br>B) Action potentials cannot be initiated because membrane depolarization to threshold cannot occur.<br>C) Action potentials propagate normally but repolarization is delayed.<br>D) The sodium-potassium pump compensates immediately, restoring normal firing.		B) Action potentials cannot be initiated because membrane depolarization to threshold cannot occur.	Voltage-gated Na⁺ channels are essential for the rapid inward Na⁺ current that depolarizes the membrane from resting potential (~−70 mV) to threshold (~−55 mV) and beyond. Blocking them prevents depolarization to threshold, so no action potential can fire. A is wrong because blocking Na⁺ entry would hyperpolarize or simply stabilize the membrane, not cause more frequent firing. C is wrong because repolarization is driven by K⁺ channels, not Na⁺ channels, and propagation itself requires Na⁺ channel opening. D is wrong because the Na⁺/K⁺-ATPase is a slow electrogenic pump that cannot generate the rapid depolarization needed for an action potential.	Nerve Cell		MCAT::Practice	concept::BB::3A::nerve_cell MCAT::app-difficulty::1 MCAT::section::BB MCAT::3A::nerve-cell MCAT::practice synapse::demo-content
Guillain-Barré syndrome involves immune-mediated destruction of the myelin sheaths around peripheral axons, while the axons themselves remain largely intact. A patient with advanced Guillain-Barré would most likely show which of the following changes in nerve conduction?<br>A) Increased conduction velocity because saltatory conduction is replaced by continuous depolarization.<br>B) Decreased conduction velocity because action potentials must depolarize every point along the axon rather than jumping between nodes.<br>C) No change in conduction velocity because the axon hillock and axon itself are undamaged.<br>D) Increased conduction velocity because loss of myelin reduces the capacitance that must be charged.		B) Decreased conduction velocity because action potentials must depolarize every point along the axon rather than jumping between nodes.	Myelin enables saltatory conduction, where action potentials jump rapidly from node of Ranvier to node of Ranvier, greatly speeding propagation. When myelin is destroyed, the axon must conduct continuously along its entire length, which is much slower. A has the direction of the effect backwards — losing saltatory conduction slows, not speeds, propagation. C is wrong because intact axons still conduct more slowly without myelin; the hillock initiates the impulse but myelin determines conduction speed. D is incorrect: although myelin does reduce membrane capacitance (which aids conduction speed), losing myelin increases effective capacitance, further slowing conduction.	Nerve Cell		MCAT::Practice	concept::BB::3A::nerve_cell MCAT::app-difficulty::1 MCAT::section::BB MCAT::3A::nerve-cell MCAT::practice synapse::demo-content
A neuroscience experiment records from a postsynaptic neuron that receives input from two presynaptic neurons: one excitatory (E) and one inhibitory (I). The following EPSPs and IPSPs are recorded at the axon hillock:<br>- A single EPSP from E alone: +8 mV depolarization (resting potential = −70 mV, threshold = −55 mV)<br>- A single IPSP from I alone: −9 mV hyperpolarization<br>If E fires twice in rapid succession (temporal summation) while I fires once simultaneously, what is the resulting membrane potential at the axon hillock, and will an action potential fire?<br>A) −63 mV; no action potential.<br>B) −54 mV; action potential fires.<br>C) −46 mV; action potential fires.<br>D) −77 mV; no action potential.		A) −63 mV; no action potential.	Starting at −70 mV, two EPSPs contribute +16 mV total and one IPSP contributes −9 mV, giving a net change of +7 mV: −70 + 7 = −63 mV. This is below threshold (−55 mV), so no action potential fires — the inhibitory input successfully prevents summation from reaching threshold. B incorrectly adds only one EPSP (+8) and ignores the IPSP: −70 + 8 − 9 = −71... that arithmetic also fails; B is a distractor for students who miscalculate. C (−46 mV) corresponds to incorrectly ignoring the IPSP altogether and overshooting. D (−77 mV) reflects adding the IPSP twice or failing to add the EPSPs, reversing the direction of the net change.	Nerve Cell		MCAT::Practice	concept::BB::3A::nerve_cell MCAT::app-difficulty::2 MCAT::section::BB MCAT::3A::nerve-cell MCAT::practice synapse::demo-content
A patient is treated with an organophosphate compound that irreversibly inhibits acetylcholinesterase (AChE) at neuromuscular junctions. AChE normally hydrolyzes acetylcholine (ACh) in the synaptic cleft. Which sequence of events best describes what happens at the neuromuscular junction after organophosphate exposure?<br>A) ACh accumulates in the cleft → prolonged depolarization of the motor end plate → sustained muscle contraction followed by fatigue and paralysis.<br>B) ACh is rapidly cleared from the cleft → failure of end plate depolarization → flaccid paralysis.<br>C) Voltage-gated Ca²⁺ channels in the presynaptic terminal are blocked → ACh release stops → flaccid paralysis.<br>D) ACh receptor desensitization occurs immediately → hyperpolarization of the motor end plate → spastic paralysis.		A) ACh accumulates in the cleft → prolonged depolarization of the motor end plate → sustained muscle contraction followed by fatigue and paralysis.	AChE terminates the ACh signal by hydrolysis; blocking it causes ACh to persist in the cleft and continuously stimulate nicotinic receptors. This produces sustained end-plate depolarization, initially causing fasciculations and tetanic contraction, then receptor desensitization and depolarization blockade leading to flaccid paralysis — this is the classic organophosphate toxidrome. B is the opposite of what happens: AChE inhibition increases, not decreases, cleft ACh. C incorrectly attributes the mechanism to presynaptic Ca²⁺ channels, which are unaffected by AChE inhibitors. D misrepresents the sequence: desensitization does eventually occur but is not immediate, and the initial effect is depolarization (excitation), not hyperpolarization.	Nerve Cell		MCAT::Practice	concept::BB::3A::nerve_cell MCAT::app-difficulty::2 MCAT::section::BB MCAT::3A::nerve-cell MCAT::practice synapse::demo-content
A researcher studies two myelinated axons of identical diameter from the same peripheral nerve. Axon X has nodes of Ranvier spaced 1 mm apart; Axon Y has nodes spaced 2 mm apart. A separate experiment shows that increasing internodal distance beyond an optimal length begins to slow conduction because the depolarizing current must charge a larger membrane capacitance before reaching threshold at the next node.<br>Given that both axons are otherwise identical (same myelin thickness, same ion channel densities at nodes, same resting potential), which prediction is best supported by this information?<br>A) Axon Y always conducts faster than Axon X because fewer nodes mean fewer delays from opening ion channels.<br>B) Axon X always conducts faster than Axon Y because each individual node-to-node jump is shorter and more reliable.<br>C) There is an optimal internodal distance at which conduction velocity is maximized; Axon X or Y may be faster depending on which is closer to that optimum.<br>D) Conduction velocity is identical in X and Y because the all-or-none property ensures the same amplitude action potential is regenerated at every node regardless of spacing.		C) There is an optimal internodal distance at which conduction velocity is maximized; Axon X or Y may be faster depending on which is closer to that optimum.	The passage explicitly states that beyond an optimal internodal length, larger spacing slows conduction because the depolarizing current must charge a greater membrane capacitance before reaching threshold at the next node. This means that simply having fewer nodes (larger spacing) is not always faster, and having more nodes (smaller spacing) is not always faster either — there is a trade-off, implying an optimal spacing exists. A is wrong because it ignores the passage's caveat that excessively large spacing slows conduction. B is wrong because very short internodal distances require more node-to-node jumps, each introducing delay, and the passage does not state shorter spacing is always better. D is wrong because the all-or-none property governs action potential amplitude, not the time required to reach threshold at the next node, so it does not equalize conduction velocity between axons of different internodal spacing.	Nerve Cell		MCAT::Practice	concept::BB::3A::nerve_cell MCAT::app-difficulty::3 MCAT::section::BB MCAT::3A::nerve-cell MCAT::practice synapse::demo-content
A patient who underwent surgical removal of the ileum (the terminal portion of the small intestine) would be most likely to develop deficiencies in which of the following nutrients? A) Glucose and amino acids B) Vitamin B12 and fat-soluble vitamins C) Sodium and potassium D) Sucrose and lactose		B) Vitamin B12 and fat-soluble vitamins	The ileum is the primary site for absorption of vitamin B12 (complexed with intrinsic factor) and bile acid reabsorption via the enterohepatic circulation; without bile acid recycling, fat digestion is impaired and fat-soluble vitamins (A, D, E, K) are poorly absorbed. Glucose and amino acids are absorbed primarily in the jejunum, so ileal resection would not primarily affect them. Sodium and potassium absorption occurs throughout the intestine. Sucrase and lactase are brush-border enzymes that act in the small intestine generally, but their substrates are already absorbed before reaching the ileum.	Digestive System		MCAT::Practice	concept::BB::3B::digestive_system MCAT::app-difficulty::1 MCAT::section::BB MCAT::3B::digestive-system MCAT::practice synapse::demo-content
A researcher studies the effect of a drug that irreversibly blocks the H+/K+-ATPase (proton pump) of parietal cells. Which of the following downstream effects would most directly result from this blockade? A) Decreased activation of pepsinogen to pepsin B) Decreased secretion of intrinsic factor C) Increased bicarbonate secretion by pancreatic ductal cells D) Decreased churning of food in the stomach antrum		A) Decreased activation of pepsinogen to pepsin	Parietal cell H+/K+-ATPase secretes HCl, which lowers gastric pH; this acidic environment is required for the autoactivation of pepsinogen to pepsin (pepsin also autocatalyzes this conversion at low pH). Blocking the proton pump raises gastric pH and thus impairs pepsinogen activation. Intrinsic factor is also secreted by parietal cells, but the question asks which effect is most direct; pepsin activation is the most immediately downstream consequence of lost HCl. Bicarbonate secretion by the pancreas is stimulated by secretin in response to acid entering the duodenum — without acid, secretin release would actually decrease. Churning (mixing contractions) is a mechanical function of smooth muscle unrelated to proton pump activity.	Digestive System		MCAT::Practice	concept::BB::3B::digestive_system MCAT::app-difficulty::1 MCAT::section::BB MCAT::3B::digestive-system MCAT::practice synapse::demo-content
A 45-year-old woman presents with fatty, foul-smelling stools (steatorrhea), jaundice, and post-prandial right-upper-quadrant pain. Ultrasound reveals a stone obstructing the common bile duct. Which of the following best explains her steatorrhea? A) Reduced secretin secretion from the duodenum, limiting pancreatic enzyme release B) Inability of bile salts to emulsify dietary fats in the duodenum, impairing lipase access and micelle formation C) Increased gastric acid entering the duodenum, denaturing pancreatic lipase D) Backup of bile into the liver, reducing hepatic glucose output and gluconeogenesis		B) Inability of bile salts to emulsify dietary fats in the duodenum, impairing lipase access and micelle formation	Bile salts are amphipathic molecules that emulsify large fat droplets into smaller droplets with greater surface area, enabling pancreatic lipase to hydrolyze triglycerides efficiently; the resulting fatty acids and monoglycerides are packaged into micelles for absorption. A blocked common bile duct prevents bile from reaching the duodenum, directly causing fat malabsorption and steatorrhea. Secretin still acts on the pancreas via blood (endocrine route), and pancreatic lipase production is not the rate-limiting issue — its access to substrate is. Increased acid entering the duodenum would stimulate secretin and bicarbonate secretion, and pancreatic lipase is not significantly denatured by the transient pH drop. Hepatic glucose regulation is unrelated to fat digestion in the duodenum.	Digestive System		MCAT::Practice	concept::BB::3B::digestive_system MCAT::app-difficulty::2 MCAT::section::BB MCAT::3B::digestive-system MCAT::practice synapse::demo-content
During a physiology lab, students measure plasma concentrations of gastrointestinal hormones at baseline (fasting) and 30 minutes after ingestion of a high-protein, high-fat meal. They observe: gastrin rises markedly, CCK rises markedly, secretin rises moderately, and GIP rises. A student hypothesizes that gastrin is responsible for the increased pancreatic enzyme secretion observed after the meal. Which of the following best evaluates this hypothesis? A) The hypothesis is supported because gastrin directly stimulates acinar cells of the pancreas via CCK-B receptors, which are identical to those activated by CCK. B) The hypothesis is partially correct because gastrin stimulates gastric acid, which triggers secretin release, and secretin — not gastrin directly — stimulates pancreatic enzyme secretion. C) The hypothesis is incorrect because CCK, released by I-cells in the duodenum in response to fat and protein, is the primary stimulator of pancreatic enzyme secretion; gastrin primarily stimulates gastric acid and pepsinogen secretion. D) The hypothesis is incorrect because secretin is the primary stimulator of pancreatic enzyme secretion, and gastrin only regulates gastric motility.		C) The hypothesis is incorrect because CCK, released by I-cells in the duodenum in response to fat and protein, is the primary stimulator of pancreatic enzyme secretion; gastrin primarily stimulates gastric acid and pepsinogen secretion.	CCK (cholecystokinin), secreted by duodenal I-cells in response to fats and proteins entering the duodenum, is the dominant stimulus for pancreatic acinar cell enzyme secretion and also causes gallbladder contraction. Gastrin's primary actions are stimulating parietal cell HCl secretion and pepsinogen secretion, not pancreatic enzyme output. Option A is a clever distractor: gastrin does share the CCK-B receptor with CCK, but at physiological concentrations gastrin does not substantially drive pancreatic enzyme secretion — CCK acts on CCK-A (CCK-1) receptors on acinar cells. Option B misidentifies secretin's role; secretin primarily stimulates bicarbonate-rich fluid secretion from pancreatic ductal cells, not enzyme secretion. Option D is wrong because secretin drives fluid/bicarbonate, not enzyme, secretion.	Digestive System		MCAT::Practice	concept::BB::3B::digestive_system MCAT::app-difficulty::2 MCAT::section::BB MCAT::3B::digestive-system MCAT::practice synapse::demo-content
